id,title,slug,description,image_path,author_id,editor_id,updated_at,created_at,deleter_id,parent_id,nest_left,nest_right,nest_depth,deleted_at
1,"Feature Type",feature-type,"Feature types",,1,0,"2017-09-28 01:30:22","2017-09-28 01:30:22",,,1,2,0,
12,In-House,in-house-project-provider,"",,1,0,"2017-09-29 17:54:01","2017-09-29 17:54:01",,2,6,7,1,
10,UI/UX,uiux-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 17:53:38",,3,20,21,1,
11,Consulting,consulting-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 17:53:49",,3,22,23,1,
2,"Project Provider",project-provider,"",,1,0,"2017-09-29 17:54:12","2017-09-29 16:17:54",,,3,10,0,
6,"Mobile App",mobile-app-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 16:25:28",,3,12,13,1,
4,Print,print-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 16:25:01",,3,14,15,1,
5,Web,web-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 16:25:14",,3,16,17,1,
9,Design,design-project-type,"",,1,0,"2017-09-29 17:54:12","2017-09-29 17:53:27",,3,18,19,1,
13,Partner,partner-project-provider,"",,1,0,"2017-09-29 17:54:12","2017-09-29 17:54:12",,2,8,9,1,
14,API,api-project-type,"",,1,0,"2017-09-29 19:19:15","2017-09-29 19:19:15",,3,24,25,1,
19,"Creative Director",creative-director-person-position,"",,1,0,"2017-10-09 01:58:46","2017-09-29 23:12:34",,15,36,37,1,
16,"Web Developer",web-developer-person-position,"",,1,0,"2017-10-09 01:58:46","2017-09-29 23:11:50",,15,30,31,1,
3,"Project Type",project-type,"",,1,0,"2017-10-09 01:58:46","2017-09-29 16:18:20",,,11,28,0,
20,Planning,planning-project-type,"",,1,0,"2017-10-09 01:58:46","2017-10-09 01:58:46",,3,26,27,1,
7,Referral,referral-project-provider,"",,1,0,"2017-09-29 16:27:20","2017-09-29 16:27:20",,2,4,5,1,
17,"Product Manager / Founder",product-manager-founder-person-position,"",,1,0,"2018-02-23 02:34:47","2017-09-29 23:12:08",,15,32,33,1,
8,"","","",,1,0,"2017-09-29 16:52:05","2017-09-29 16:51:47",,,15,16,0,"2017-09-29 16:52:05"
18,"Lead Developer",lead-developer-person-position,"",,1,0,"2018-02-23 02:35:01","2017-09-29 23:12:20",,15,34,35,1,
15,"Person Position",person-position,"",,1,0,"2018-10-16 19:24:15","2017-09-29 23:11:36",,,29,40,0,
21,"Project Manager",project-manager-person-position,"",,1,0,"2018-10-16 19:24:15","2018-10-16 19:24:06",,15,38,39,1,